year,CR,EN,VU
2000,11041,9102,6488
2001,11041,9102,6488
2002,11167,9189,6543
2003,12259,10010,7011
2004,15503,12650,8322
2005,15503,12650,8322
2006,16116,13045,8564
2007,16300,13180,8617
2008,16922,13680,8911
2009,17285,13964,9074
2010,18345,14784,9529
2011,19564,15689,10001
2012,20213,16129,10211
2013,21280,16998,10545
2014,22405,17774,10836
2015,23244,18350,11028
2016,24307,19097,11316
2017,25821,20238,11783
2018,26840,21014,11982
2019,30178,23765,13136
2020,31030,24507,13440
