year,CR,EN,VU
2000,59,76,300
2001,59,76,300
2002,59,77,300
2003,61,76,302
2004,61,82,316
2005,61,82,316
2006,84,96,323
2007,86,96,325
2008,99,165,628
2009,99,164,629
2010,132,183,568
2011,132,183,568
2012,132,183,569
2013,154,224,650
2014,205,307,685
2015,209,311,685
2016,211,312,695
2017,243,340,709
2018,252,348,708
2019,270,344,710
2020,270,344,710
