year,CR,EN,VU
2000,180,340,610
2001,180,340,610
2002,181,339,617
2003,184,337,609
2004,162,352,587
2005,162,352,587
2006,162,348,583
2007,163,349,582
2008,188,448,505
2009,188,449,505
2010,188,450,493
2011,194,447,497
2012,196,446,497
2013,196,447,500
2014,213,477,509
2015,209,481,507
2016,204,464,526
2017,202,476,526
2018,201,482,536
2019,203,505,536
2020,203,506,537
