year,CR,EN,VU
2000,25,38,83
2001,25,38,83
2002,30,37,90
2003,30,37,90
2004,413,729,628
2005,413,729,628
2006,442,738,631
2007,441,737,630
2008,475,755,675
2009,484,754,657
2010,486,758,654
2011,498,764,655
2012,509,767,657
2013,520,783,647
2014,518,789,650
2015,528,810,656
2016,546,852,670
2017,552,869,679
2018,550,903,639
2019,588,964,648
2020,587,965,650
