year,CR,EN,VU
2000,56,74,161
2001,56,74,161
2002,55,79,159
2003,57,78,158
2004,64,79,161
2005,64,79,161
2006,73,101,167
2007,79,139,204
2008,86,134,203
2009,93,150,226
2010,106,200,288
2011,137,284,351
2012,144,296,367
2013,164,329,386
2014,174,356,397
2015,180,361,403
2016,237,421,421
2017,266,484,465
2018,287,515,505
2019,309,565,535
2020,309,564,535
