year,CR,EN,VU
2000,0,0,0
2001,0,0,0
2002,0,0,0
2003,1,1,0
2004,1,1,0
2005,1,1,0
2006,2,1,0
2007,2,1,0
2008,2,1,0
2009,2,1,0
2010,2,1,0
2011,2,1,0
2012,2,1,0
2013,2,1,0
2014,2,1,0
2015,5,11,13
2016,8,12,14
2017,10,18,21
2018,14,21,24
2019,19,60,91
2020,20,62,92
