year,CR,EN,VU
2000,45,118,392
2001,45,118,392
2002,46,118,393
2003,46,118,389
2004,47,120,392
2005,47,120,392
2006,68,129,426
2007,69,129,425
2008,70,132,424
2009,89,151,471
2010,89,166,478
2011,91,169,481
2012,119,207,503
2013,125,247,524
2014,168,270,555
2015,176,305,565
2016,226,408,634
2017,273,461,680
2018,300,537,700
2019,311,571,765
2020,322,641,796
