year,CR,EN,VU
2000,182,321,680
2001,182,321,680
2002,182,326,684
2003,182,331,681
2004,179,345,688
2005,179,345,688
2006,181,351,674
2007,189,356,672
2008,190,361,671
2009,192,362,669
2010,190,372,678
2011,189,382,682
2012,197,389,727
2013,198,397,713
2014,213,419,741
2015,218,416,741
2016,225,448,787
2017,222,461,786
2018,224,469,799
2019,225,461,800
2020,225,461,800
