year,CR,EN,VU
2000,1014,1266,3331
2001,1014,1266,3331
2002,1046,1291,3377
2003,1276,1634,3864
2004,1490,2239,4592
2005,1490,2239,4592
2006,1541,2258,4591
2007,1569,2278,4600
2008,1575,2280,4602
2009,1577,2316,4607
2010,1619,2397,4708
2011,1731,2564,4861
2012,1821,2655,4914
2013,1957,3009,5099
2014,2119,3231,5234
2015,2347,3510,5376
2016,2506,3691,5446
2017,2722,4123,5660
2018,2879,4537,5883
2019,3229,5727,6818
2020,3325,6063,7072
