,year,country,forest,urban,temp
99,1990,Nigeria,18.92245023,29.67999954,27.36616667
100,1990,North Korea,68.10896105,58.38400174,8.179083333
101,1990,Norway,33.21606045,71.95599265,2.0665
102,1990,Oman,0.006462036,66.10199982,27.4445
103,1990,Pakistan,3.278071814,30.57599998,21.37641667
104,1990,Panama,67.79661017,53.90300076,26.92533333
105,1990,Papua New Guinea,74.25473656,14.99399846,24.93675
106,1990,Paraguay,53.25195067,48.69401117,23.59941667
107,1990,Peru,60.87578125,68.9010017,20.23308333
108,1990,Philippines,21.98410303,46.98600011,26.93233333
109,1990,Poland,28.99539652,61.26999966,9.231666667
110,1990,Portugal,37.55191257,47.91500095,15.74275
111,1990,Puerto Rico,32.35625705,92.94201301,25.93975
112,1990,Qatar,0,92.78594591,27.32033333
113,1990,Romania,27.77850447,53.21700202,10.226
114,1990,Russia,49.35646539,73.39399968,-4.022916667
115,1990,Rwanda,12.89014998,5.416002492,19.54583333
116,1990,Saudi Arabia,0.454484135,76.58300164,26.01875
117,1990,Senegal,48.55347219,38.8960028,28.508
118,1990,Sierra Leone,43.19756165,33.25199907,26.55141667
119,1990,Slovakia,39.95841996,56.49100513,8.71675
120,1990,Slovenia,58.98709037,50.38998359,10.72633333
121,1990,Solomon Islands,83.02965345,13.67688558,27.26491667
122,1990,Somalia,13.20177256,29.65799766,27.14266667
123,1990,South Africa,7.617736524,52.03699895,17.72833333
124,1990,South Korea,66.03773585,73.84399921,13.2295
125,1990,Spain,27.64994794,75.35100051,14.76208333
126,1990,Sri Lanka,36.42162335,18.53499824,27.52875
127,1990,Sudan,12.93236953,28.60999752,27.64408333
128,1990,Suriname,98.91025641,65.70610987,26.67708333
129,1990,Swaziland,27.44186047,20.20204952,19.2115
130,1990,Sweden,68.38962811,83.10000134,4.497916667
131,1990,Switzerland,29.11786283,73.92600631,8.255583333
132,1990,Tajikistan,2.915118605,31.65800738,5.199333333
133,1990,Thailand,27.41294604,29.42399956,26.59066667
134,1990,Togo,12.59422688,28.5889927,27.51683333
135,1990,Tunisia,4.138774459,57.94600547,20.929
136,1990,Turkey,12.5021114,59.20299915,12.0325
137,1990,Turkmenistan,8.782159045,45.07500884,15.92641667
138,1990,Uganda,23.77758871,11.07599805,23.26708333
139,1990,Ukraine,16.00759472,66.75699915,9.400833333
140,1990,United Arab Emirates,2.93062201,79.050992,28.26008333
141,1990,Uruguay,4.55833619,88.97301566,17.70358333
142,1990,Uzbekistan,7.15796897,41.36500244,13.46308333
143,1990,Venezuela,58.98305085,84.28400002,25.59475
144,1990,Vietnam,28.7658607,20.25700046,24.27408333
145,1990,Yemen,1.039831809,20.93100138,26.64066667
146,1990,Zambia,71.0259756,39.40700511,22.21933333
147,1990,Zimbabwe,57.29352462,28.988002,22.13025
148,1991,Afghanistan,2.067824648,21.26599925,14.37075
149,1991,Albania,28.71715328,36.70000214,12.33883333
150,1991,Algeria,0.696213693,52.87099892,23.01108333
151,1991,Angola,48.80981792,38.57999628,22.09541667
152,1991,Argentina,12.60636024,87.32800087,15.09758333
153,1991,Armenia,11.75272216,67.14999867,9.372583333
154,1991,Australia,16.73600354,85.40300278,22.48741667
155,1991,Austria,45.80043594,62.68900491,6.357916667
156,1991,Azerbaijan,10.2839564,53.44099849,11.956
157,1991,Bangladesh,11.45732504,20.25700009,25.13516667
158,1991,Belarus,38.84145139,66.37400432,6.895416667
159,1991,Belize,70.16001754,47.27091029,25.86333333
160,1991,Benin,50.47002483,35.2470017,27.38091667
161,1991,Bhutan,53.86297969,17.16094282,11.99466667
