year,CR,EN,VU
2000,222,237,479
2001,222,237,479
2002,222,236,481
2003,250,243,474
2004,265,221,488
2005,265,221,488
2006,265,222,488
2007,268,224,486
2008,268,224,486
2009,291,245,500
2010,373,328,587
2011,487,417,769
2012,549,480,828
2013,553,486,859
2014,576,501,873
2015,576,503,871
2016,586,513,885
2017,625,547,1015
2018,633,546,1016
2019,667,564,1019
2020,667,564,1019
