year,CR,EN,VU
2000,156,144,452
2001,156,144,452
2002,157,143,442
2003,162,144,444
2004,171,160,470
2005,171,160,470
2006,253,237,681
2007,254,254,693
2008,289,269,717
2009,306,298,810
2010,376,400,1075
2011,414,477,1137
2012,415,494,1149
2013,413,530,1167
2014,443,587,1192
2015,446,614,1211
2016,461,660,1238
2017,468,676,1242
2018,486,674,1172
2019,592,868,1214
2020,595,897,1229
